operator_id,operator,legal_name,year,period,period_end,grain,metric_key,metric_zh,value,official_value,unit,comparator,scope,basis,verification_status,verification_count,distinct_source_document_count,distinct_source_document_ids,triple_source_status,primary_source_id,primary_source_url,verification_sources,candidate_sources,quality_note
china_broadnet,中国广电,China Broadcasting Network Group Corporation Ltd. / China Broadnet,2016,FY2016,2016-12-31,annual,5g_base_stations,5G基站数,,,million_base_stations,=,700MHz 5G base stations co-built and shared with China Mobile,precommercial_not_applicable,not_applicable_precommercial,0,0,[],not_applicable_missing_value,,,[],[],Pre-network years; not a zero estimate.
china_broadnet,中国广电,China Broadcasting Network Group Corporation Ltd. / China Broadnet,2016,FY2016,2016-12-31,annual,5g_network_subscribers,5G网络用户数,,,million_subscribers,=,China Broadnet 5G users,precommercial_not_applicable,not_applicable_precommercial,0,0,[],not_applicable_missing_value,,,[],[],Nationwide commercial mobile service had not launched; not a zero estimate.
china_broadnet,中国广电,China Broadcasting Network Group Corporation Ltd. / China Broadnet,2016,FY2016,2016-12-31,annual,broadband_arpu,宽带ARPU,,,RMB_per_user_month,=,China Broadnet fixed-broadband ARPU,year_end,source_gap_confirmed,0,0,[],not_applicable_missing_value,,,[],[],No comparable China Broadnet consolidated disclosure was found; industry aggregates and provincial cable-network company figures are intentionally not substituted.
china_broadnet,中国广电,China Broadcasting Network Group Corporation Ltd. / China Broadnet,2016,FY2016,2016-12-31,annual,fixed_broadband_subscribers,固网宽带用户数,,,million_subscribers,=,China Broadnet consolidated nationwide fixed-broadband subscribers,year_end,source_gap_confirmed,0,0,[],not_applicable_missing_value,,,[],[],No comparable China Broadnet consolidated disclosure was found; industry aggregates and provincial cable-network company figures are intentionally not substituted.
china_broadnet,中国广电,China Broadcasting Network Group Corporation Ltd. / China Broadnet,2016,FY2016,2016-12-31,annual,mobile_arpu,移动ARPU,,,RMB_per_user_month,=,China Broadnet mobile ARPU,year_end,source_gap_confirmed,0,0,[],not_applicable_missing_value,,,[],[],No comparable China Broadnet consolidated disclosure was found; industry aggregates and provincial cable-network company figures are intentionally not substituted.
china_broadnet,中国广电,China Broadcasting Network Group Corporation Ltd. / China Broadnet,2016,FY2016,2016-12-31,annual,mobile_dou,月户均移动数据流量DOU,,,GB_per_user_month,=,China Broadnet monthly mobile data usage per user,year_end,source_gap_confirmed,0,0,[],not_applicable_missing_value,,,[],[],No comparable China Broadnet consolidated disclosure was found; industry aggregates and provincial cable-network company figures are intentionally not substituted.
china_broadnet,中国广电,China Broadcasting Network Group Corporation Ltd. / China Broadnet,2016,FY2016,2016-12-31,annual,mobile_subscribers,移动用户数,,,million_subscribers,=,China Broadnet nationwide mobile subscriber base excluding IoT; separately disclosed total not found,precommercial_not_applicable,not_applicable_precommercial,0,0,[],not_applicable_missing_value,,,[],[],No comparable China Broadnet consolidated disclosure was found; industry aggregates and provincial cable-network company figures are intentionally not substituted.
china_broadnet,中国广电,China Broadcasting Network Group Corporation Ltd. / China Broadnet,2016,FY2016,2016-12-31,annual,total_data_traffic,年度数据流量,,,billion_GB,=,China Broadnet annual mobile data traffic,year_end,source_gap_confirmed,0,0,[],not_applicable_missing_value,,,[],[],MIIT totals include China Broadnet from February 2024 but do not disclose a company-specific series; the aggregate is not substituted.
china_broadnet,中国广电,China Broadcasting Network Group Corporation Ltd. / China Broadnet,2017,FY2017,2017-12-31,annual,5g_base_stations,5G基站数,,,million_base_stations,=,700MHz 5G base stations co-built and shared with China Mobile,precommercial_not_applicable,not_applicable_precommercial,0,0,[],not_applicable_missing_value,,,[],[],Pre-network years; not a zero estimate.
china_broadnet,中国广电,China Broadcasting Network Group Corporation Ltd. / China Broadnet,2017,FY2017,2017-12-31,annual,5g_network_subscribers,5G网络用户数,,,million_subscribers,=,China Broadnet 5G users,precommercial_not_applicable,not_applicable_precommercial,0,0,[],not_applicable_missing_value,,,[],[],Nationwide commercial mobile service had not launched; not a zero estimate.
